name,image,description,launched,website,offline,presented,breakout,feature,video,first_active,last_active,slack_channel,github
Budgetpedia,Screenshot 2024-09-14 at 3.49.41 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/FicAYMhLUoPP7tu2UwID9w/66z4i5dEmKu_VmCzhcPTUll_It8VNX_ducTR5caNLGqs_PwUxcvbEciNbAuEIbbtoh_S_iCdFjhOuGpSk-rwR_fx_JFrn1utv5s-iD5Git6Kpry6IYBYZ6g05g3UJyB1YHs0BBDuJiZf6NcczE3uymoQZ_2pLar9ftmTASpEYylS2ihNrTcwBd8TC-4tss0K/HnzCuKqZde0PTsyvni-7OnuNN44Ep2VnwYH7_yyLjcw),Making the City of Toronto budget more accessible to promote informed debate; advocate for better budgeting,TRUE,http://budgetpedia.ca/,,,TRUE,,,2015-01-01,2018-01-01,#budgetpedia-general,https://github.com/CivicTechTO/budgetpedia-frontend
Women and color,,an online community of talented women and people of color available for speaking opportunities at tech-related events.,TRUE,http://womenandcolor.com,TRUE,,TRUE,,,2017-01-01,2018-01-01,,
Basecount,,Mapping the capacity and current occupancy of City of Toronto emergency shelters,,,,,TRUE,,,2018-01-01,2018-01-01,#proj-basecount,
Democracy Kit,dk_wordmark.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/u7vIIAKRMW7mBOUbYRV9xw/acyWvR_pSGfoEFQZNtkBjfkyAmWJspIfVl9UgSkdLyaQiN_Ceq6Ai9FZxF6PK4w89Ewq5xwt5nPVB7tC_FihUMk1UDRrqv8z1_N0WttlRyqnTvOFKuQAGWi_ElijrAM7z3fVWoraCLq3hUNvUAWkVCBbQ0ihcS4dGRctJX-RG9E/8Q-An90zQ4QjVUWpgI_2gdUpMW2P_JDJRsSwEKE9OhQ),a not-for-profit startup working to open the democratic process by publishing a shared campaign resource package for councillor and trustee races,TRUE,http://www.opendemocracyproject.ca/,TRUE,,TRUE,,,,2017-12-05,#democracykit,
#proj-adroit,,,,,,,TRUE,,,,2017-01-31,#proj-adroit,
Guerilla Archiving - Environmental Data Gathering Initiative,24626991.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/kwIHBgzu_7AWJnhxcwNXCw/1y_duUSvC1nwfasgMy6mc80g_Nak3N2U0MW2D4Vt71A9GPfM-R1aOV5eG0JRcwEANLyh1_AYGkg07auavBxENSs6W--LIqoGZ55-YrnA3DVwaOeN1lH9T4_SuCCrzZyaea8iDxnOt1rKzisya3Zz23nMHp0w8XkPaxnoAMLi5QQ/s2mRN5rbzck2vFuFok7f8wwV38PUGxgtmg8XXhTueTY),,,,,,TRUE,,,2016-01-01,2017-01-01,#guerilla-archiving,
TPL Digital Innovation Hub booking app,,,,,,,TRUE,,,2016-01-01,2017-01-01,#tpl-bookings,
Toronto Meshnet,Screenshot 2024-09-14 at 3.58.41 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/QcZF0EgoHVJo2500r5lKyw/bqqyKuzVlgNi1-guxo9gg5aVz3ZBZPmpnjixDlli5YcrYtX2cPs4lPElVnsvEpgnlPOBuK-VNibIOHIlzsf-oEZsDc-WeARuQD0cOSotUJPXvNVK90bz6K27hGKoiAK3mkbORjWNqLPI4MX9Dg72AdektNEcwyf8CpE6B08nPO3PO0BVll5JvNjIxQyHEccQ/EhIiait_Cps8TyMRdbUrJ_nI_l1mjeUBUlpSnYyccXw),,TRUE,https://tomesh.net/,,,TRUE,,,,2016-11-14,#tomesh,
#greathumanexperiences,,,,,,,TRUE,,,,2016-02-10,#greathumanexperiences,
Open Cabinet,,,,,,,TRUE,,,2015-01-01,2016-01-01,#proj-opencabinet,https://github.com/CivicTechTO/open-cabinet
